CODE,EOU1,EOU2,EOU3,EOU4,PU1,PU2,PU3,PU4,FC1,FC2,FC3,FC4,CC1,CC2,CC3,CC4,CD1,CD2,CD3,CD4,LC1,LC2,LC3,LC4,SP1,SP2,SP3,SP4,Gender,Year of school
1,3,4,4,4,2,2,3,3,3,2,3,3,3,3,3,3,4,4,4,4,3,4,2,3,3,3,3,3,Female,First year
2,3,3,3,3,3,3,4,4,4,4,5,5,4,4,4,4,4,4,2,2,4,4,5,4,5,5,4,4,Female,First year
3,3,3,4,4,3,4,4,3,4,3,4,4,4,3,4,4,3,3,2,2,4,5,5,4,4,4,4,3,Female,Second year
4,2,2,2,3,2,3,3,2,3,2,2,3,3,3,3,4,3,3,2,2,2,2,2,2,3,2,2,3,Female,Third year
5,2,3,3,2,1,2,2,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,1,2,3,Male,First year
6,3,4,4,3,2,2,3,3,3,3,3,3,4,4,3,5,2,2,3,2,2,3,2,2,2,3,3,2,Female,Fourth year
7,3,4,3,3,2,2,3,2,4,3,4,3,3,4,3,3,5,5,4,4,3,3,4,3,4,3,3,4,Female,Third year
8,3,3,3,3,3,3,3,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,5,4,4,5,4,4,Female,First year
9,3,3,4,4,3,2,3,3,3,3,3,4,3,4,3,4,4,4,4,4,3,4,3,3,3,3,4,4,Female,Second year
10,3,3,3,3,2,3,3,3,3,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4,4,3,4,3,Female,Second year
11,4,3,3,3,2,2,3,3,3,2,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,Female,First year
12,3,3,3,3,3,2,3,3,2,3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,Male,Third year
13,3,3,3,3,3,3,3,4,3,3,3,3,3,3,2,2,3,3,3,3,3,2,3,3,2,3,2,1,Male,Fourth year
14,3,3,4,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,5,5,4,3,3,4,4,4,4,3,Female,First year
15,3,3,4,3,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,4,4,Female,Third year
16,3,4,4,3,2,2,3,3,5,3,3,4,3,3,3,4,3,3,4,2,4,3,3,4,3,4,3,2,Male,Fourth year
17,4,4,4,3,3,2,4,3,4,3,3,4,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,5,Female,Third year
18,4,4,4,4,2,3,3,3,4,4,3,4,5,4,4,4,3,3,3,2,4,3,4,4,3,5,4,3,Female,Second year
19,2,2,3,3,2,3,2,3,2,2,2,2,3,2,2,2,4,4,3,3,2,2,2,2,2,2,2,2,Female,Fourth year
20,2,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,2,2,3,3,3,3,3,3,3,4,Male,Second year
21,3,4,4,3,2,2,3,4,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,5,Male,First year
22,4,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,5,4,3,3,4,3,4,3,3,3,Male,Second year
23,4,5,5,5,3,4,4,4,5,4,4,4,4,5,4,4,3,3,3,3,5,4,5,5,5,4,5,4,Male,Second year
24,4,4,4,4,2,2,2,3,3,2,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,Female,Third year
25,4,4,4,4,3,3,4,4,3,3,3,3,3,2,2,3,4,4,2,3,4,3,3,4,5,5,4,4,Male,First year
26,3,3,3,3,3,3,4,5,4,3,4,4,3,3,4,2,4,4,4,4,4,4,4,4,3,3,3,3,Male,First year
27,4,2,3,3,3,4,4,4,4,4,4,4,5,4,4,4,4,4,3,3,3,4,3,3,5,4,4,4,Male,Third year
28,3,3,4,4,2,3,3,4,3,3,4,4,3,4,4,3,3,3,4,3,4,3,4,4,3,4,5,4,Female,First year
29,2,3,3,2,3,2,3,3,2,2,3,3,3,3,3,3,2,2,3,2,2,2,2,2,1,2,1,2,Female,First year
30,2,4,4,3,2,3,2,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,Male,Second year
31,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,3,4,3,4,5,4,5,Female,Third year
